Coverity.Dummy.Fake_Method_For_BZ77715::Attribute_Encode(System.String)System.String	input	0
Coverity.Dummy.Fake_Method_For_BZ77715::Attribute_Encode(System.String)System.String	output	-1
Coverity.Dummy.Fake_Method_For_BZ77715::Attribute_Encode(System.String)System.String	action1	unescaper	HTML_ENTITY
Coverity.Dummy.Fake_Method_For_BZ77715::Attribute_Encode(System.String)System.String	action1	chars_never_in_output	{ '"' , '<' }
Coverity.Dummy.Fake_Method_For_BZ77715::Attribute_Encode(System.String)System.String	action1	chars_introduced	{ '#' , '&' , '3' , '9' , ';' , 'a' , 'l' , 'm' , 'o' , 'p' , 'q' , 't' , 'u' }
Coverity.Dummy.Fake_Method_For_BZ77715::Attribute_Encode(System.String)System.String	action1	chars_escaped	{ '"' , '&' , '<' }
Coverity.Security.Escape::CssString(System.String)System.String	input	0
Coverity.Security.Escape::CssString(System.String)System.String	output	-1
Coverity.Security.Escape::CssString(System.String)System.String	action1	unescaper	CSS
Coverity.Security.Escape::CssString(System.String)System.String	action1	chars_never_in_output	{ 0x8 , 0x9 , 0xa , 0xc , 0xd , '"' , '&' , ''' , '/' , '<' , '>' , 0x2028 , 0x2029 }
Coverity.Security.Escape::CssString(System.String)System.String	action1	chars_introduced	{ ' ' , '0' , '2' , '3' , '5' , '6' , '7' , '8' , '9' , 'A' , 'C' , 'D' , 'E' , 'F' , '\' }
Coverity.Security.Escape::CssString(System.String)System.String	action1	chars_escaped	{ 0x8 , 0x9 , 0xa , 0xc , 0xd , '"' , '&' , ''' , '/' , '<' , '>' , '\' , 0x2028 , 0x2029 }
Coverity.Security.Escape::Html(System.String)System.String	input	0
Coverity.Security.Escape::Html(System.String)System.String	output	-1
Coverity.Security.Escape::Html(System.String)System.String	action1	unescaper	HTML_ENTITY
Coverity.Security.Escape::Html(System.String)System.String	action1	chars_never_in_output	{ 0x9 , 0xa , 0xc , 0xd , ' ' , '"' , ''' , '/' , '<' , '>' , '\' , 0x2028 , 0x2029 }
Coverity.Security.Escape::Html(System.String)System.String	action1	chars_introduced	{ '#' , '&' , '0' , '2' , '3' , '5' , '8' , '9' , ';' , 'A' , 'C' , 'D' , 'F' , 'a' , 'g' , 'l' , 'm' , 'o' , 'p' , 'q' , 't' , 'u' , 'x' }
Coverity.Security.Escape::Html(System.String)System.String	action1	chars_escaped	{ 0x9 , 0xa , 0xc , 0xd , ' ' , '"' , '&' , ''' , '/' , '<' , '>' , '\' , 0x2028 , 0x2029 }
Coverity.Security.Escape::HtmlText(System.String)System.String	input	0
Coverity.Security.Escape::HtmlText(System.String)System.String	output	-1
Coverity.Security.Escape::HtmlText(System.String)System.String	action1	unescaper	HTML_ENTITY
Coverity.Security.Escape::HtmlText(System.String)System.String	action1	chars_never_in_output	{ '"' , ''' , '<' , '>' }
Coverity.Security.Escape::HtmlText(System.String)System.String	action1	chars_introduced	{ '#' , '&' , '3' , '9' , ';' , 'a' , 'g' , 'l' , 'm' , 'o' , 'p' , 'q' , 't' , 'u' }
Coverity.Security.Escape::HtmlText(System.String)System.String	action1	chars_escaped	{ '"' , '&' , ''' , '<' , '>' }
Coverity.Security.Escape::JsRegex(System.String)System.String	input	0
Coverity.Security.Escape::JsRegex(System.String)System.String	output	-1
Coverity.Security.Escape::JsRegex(System.String)System.String	action1	unescaper	JS_STRING
Coverity.Security.Escape::JsRegex(System.String)System.String	action1	chars_never_in_output	{ 0x9 , 0xa , 0xb , 0xc , 0xd }
Coverity.Security.Escape::JsRegex(System.String)System.String	action1	chars_introduced	{ '\' , 'f' , 'n' , 'r' , 't' , 'v' }
Coverity.Security.Escape::JsRegex(System.String)System.String	action1	chars_escaped	{ 0x9 , 0xa , 0xb , 0xc , 0xd , '!' , '$' , '(' , ')' , '*' , '+' , '-' , '.' , '/' , '?' , '[' , '\' , ']' , '^' , '{' , '|' , '}' }
Coverity.Security.Escape::JsString(System.String)System.String	input	0
Coverity.Security.Escape::JsString(System.String)System.String	output	-1
Coverity.Security.Escape::JsString(System.String)System.String	action1	unescaper	JS_STRING
Coverity.Security.Escape::JsString(System.String)System.String	action1	chars_never_in_output	{ 0x8 , 0x9 , 0xa , 0xb , 0xc , 0xd , '"' , '%' , '&' , ''' , '/' , '<' , '>' , 0x2028 , 0x2029 }
Coverity.Security.Escape::JsString(System.String)System.String	action1	chars_introduced	{ '0' , '2' , '3' , '5' , '6' , '7' , '8' , '9' , 'A' , 'B' , 'C' , 'D' , 'E' , 'F' , '\' , 'u' }
Coverity.Security.Escape::JsString(System.String)System.String	action1	chars_escaped	{ 0x8 , 0x9 , 0xa , 0xb , 0xc , 0xd , '"' , '%' , '&' , ''' , '/' , '<' , '>' , '\' , 0x2028 , 0x2029 }
Coverity.Security.Escape::Uri(System.String)System.String	input	0
Coverity.Security.Escape::Uri(System.String)System.String	output	-1
Coverity.Security.Escape::Uri(System.String)System.String	action1	unescaper	URI_PERCENT
Coverity.Security.Escape::Uri(System.String)System.String	action1	chars_never_in_output	{ 0x9 , 0xa , 0xc , 0xd , ' ' , '!' , '"' , '#' , '$' , '&' , ''' , '(' , ')' , '*' , '+' , ',' , '.' , '/' , ':' , ';' , '<' , '=' , '>' , '?' , '@' , '[' , ']' }
Coverity.Security.Escape::Uri(System.String)System.String	action1	chars_introduced	{ '%' , '0' , '1' , '2' , '3' , '4' , '5' , '6' , '7' , '8' , '9' , 'A' , 'B' , 'C' , 'D' , 'E' , 'F' }
Coverity.Security.Escape::Uri(System.String)System.String	action1	chars_escaped	{ 0x9 , 0xa , 0xc , 0xd , ' ' , '!' , '"' , '#' , '$' , '%' , '&' , ''' , '(' , ')' , '*' , '+' , ',' , '.' , '/' , ':' , ';' , '<' , '=' , '>' , '?' , '@' , '[' , ']' }
Coverity.Security.Escape::UriParam(System.String)System.String	input	0
Coverity.Security.Escape::UriParam(System.String)System.String	output	-1
Coverity.Security.Escape::UriParam(System.String)System.String	action1	unescaper	URI_PERCENT
Coverity.Security.Escape::UriParam(System.String)System.String	action1	chars_never_in_output	{ 0x9 , 0xa , 0xc , 0xd , ' ' , '!' , '"' , '#' , '$' , '&' , ''' , '(' , ')' , '*' , '+' , ',' , '.' , '/' , ':' , ';' , '<' , '=' , '>' , '?' , '@' , '[' , ']' }
Coverity.Security.Escape::UriParam(System.String)System.String	action1	chars_introduced	{ '%' , '0' , '1' , '2' , '3' , '4' , '5' , '6' , '7' , '8' , '9' , 'A' , 'B' , 'C' , 'D' , 'E' , 'F' }
Coverity.Security.Escape::UriParam(System.String)System.String	action1	chars_escaped	{ 0x9 , 0xa , 0xc , 0xd , ' ' , '!' , '"' , '#' , '$' , '%' , '&' , ''' , '(' , ')' , '*' , '+' , ',' , '.' , '/' , ':' , ';' , '<' , '=' , '>' , '?' , '@' , '[' , ']' }
Coverity.Security.Filter.AsCssColor(System.String)System.String	input	0
Coverity.Security.Filter.AsCssColor(System.String)System.String	output	-1
Coverity.Security.Filter.AsCssColor(System.String)System.String	action1	unescaper	NONE
